event_type,severity,country,hour_of_day,is_attack_event,is_business_hours
failed_login,low,GB,1,False,False
malware_alert,critical,SG,16,True,True
vpn_login,low,GB,14,False,True
suspicious_ip_activity,low,US,15,True,True
malware_alert,critical,AU,15,True,True
vpn_login,medium,US,21,False,False
account_lockout,medium,DE,19,False,False
vpn_login,critical,US,14,False,True
suspicious_ip_activity,high,US,16,True,True
suspicious_ip_activity,critical,DE,15,True,True
vpn_login,medium,DE,21,False,False
successful_login,critical,CA,1,False,False
account_lockout,medium,AU,19,False,False
account_lockout,medium,US,23,False,False
vpn_login,medium,DE,1,False,False
account_lockout,low,GB,7,False,False
failed_login,critical,CM,6,False,False
failed_login,low,US,21,False,False
brute_force_attempt,high,US,7,True,False
successful_login,high,US,17,False,False
privilege_escalation,critical,GB,17,True,False
failed_login,high,JP,19,False,False
malware_alert,critical,JP,14,True,True
brute_force_attempt,medium,GB,15,True,True
vpn_login,high,US,21,False,False
vpn_login,medium,CA,19,False,False
successful_login,low,CA,14,False,True
vpn_login,high,US,14,False,True
vpn_login,low,US,19,False,False
account_lockout,high,JP,19,False,False
suspicious_ip_activity,low,IN,9,True,True
successful_login,high,US,20,False,False
successful_login,critical,JP,23,False,False
successful_login,medium,US,15,False,True
failed_login,medium,JP,14,False,True
successful_login,medium,US,14,False,True
brute_force_attempt,high,DE,17,True,False
failed_login,medium,US,20,False,False
successful_login,high,CA,14,False,True
brute_force_attempt,medium,US,16,True,True
vpn_login,high,US,15,False,True
account_lockout,high,FR,9,False,True
failed_login,medium,DE,19,False,False
account_lockout,medium,US,20,False,False
brute_force_attempt,high,FR,17,True,False
failed_login,critical,US,6,False,False
successful_login,low,GB,10,False,True
failed_login,low,US,17,False,False
privilege_escalation,high,JP,8,True,False
successful_login,low,GB,16,False,True
failed_login,medium,IN,23,False,False
account_lockout,critical,FR,7,False,False
successful_login,critical,GB,4,False,False
vpn_login,low,SG,0,False,False
malware_alert,high,CA,20,True,False
account_lockout,low,US,20,False,False
account_lockout,low,US,14,False,True
vpn_login,medium,GB,21,False,False
successful_login,low,GB,16,False,True
malware_alert,high,CA,19,True,False
vpn_login,medium,IN,9,False,True
successful_login,low,US,2,False,False
vpn_login,low,FR,17,False,False
privilege_escalation,high,US,18,True,False
failed_login,low,GB,16,False,True
failed_login,critical,TR,16,False,True
successful_login,medium,GB,17,False,False
vpn_login,low,JP,16,False,True
vpn_login,medium,US,17,False,False
failed_login,critical,US,7,False,False
brute_force_attempt,critical,GB,6,True,False
successful_login,low,US,16,False,True
brute_force_attempt,high,US,16,True,True
suspicious_ip_activity,high,CA,21,True,False
failed_login,critical,FI,22,False,False
failed_login,low,JP,7,False,False
vpn_login,high,US,3,False,False
vpn_login,low,FR,23,False,False
successful_login,low,JP,15,False,True
failed_login,low,DE,15,False,True
malware_alert,critical,DE,0,True,False
failed_login,low,US,17,False,False
vpn_login,low,GB,18,False,False
successful_login,high,AU,18,False,False
failed_login,critical,GR,20,False,False
brute_force_attempt,high,CA,1,True,False
successful_login,low,AU,15,False,True
privilege_escalation,medium,US,1,True,False
failed_login,low,GB,17,False,False
suspicious_ip_activity,medium,DE,8,True,False
vpn_login,medium,JP,15,False,True
successful_login,low,GB,20,False,False
failed_login,low,JP,16,False,True
privilege_escalation,critical,JP,14,True,True
successful_login,high,JP,11,False,True
failed_login,low,JP,0,False,False
suspicious_ip_activity,high,AU,17,True,False
malware_alert,critical,GB,20,True,False
successful_login,medium,AU,18,False,False
failed_login,low,US,18,False,False
brute_force_attempt,low,DE,9,True,True
failed_login,low,US,23,False,False
failed_login,low,BR,18,False,False
successful_login,low,CA,17,False,False
suspicious_ip_activity,low,US,9,True,True
brute_force_attempt,high,SG,15,True,True
suspicious_ip_activity,high,US,16,True,True
successful_login,medium,DE,21,False,False
privilege_escalation,low,CA,19,True,False
account_lockout,high,AU,23,False,False
account_lockout,low,GB,21,False,False
suspicious_ip_activity,high,US,21,True,False
privilege_escalation,critical,GB,20,True,False
successful_login,medium,DE,16,False,True
successful_login,critical,IN,17,False,False
privilege_escalation,high,US,20,True,False
successful_login,high,GB,0,False,False
privilege_escalation,high,DE,10,True,True
malware_alert,high,US,10,True,True
failed_login,low,JP,7,False,False
failed_login,high,US,16,False,True
vpn_login,high,AU,4,False,False
account_lockout,medium,FR,19,False,False
account_lockout,medium,US,14,False,True
malware_alert,high,BR,19,True,False
failed_login,critical,FR,8,False,False
successful_login,medium,SG,23,False,False
failed_login,critical,DE,8,False,False
vpn_login,medium,IN,12,False,True
account_lockout,medium,US,15,False,True
vpn_login,high,AU,6,False,False
successful_login,high,GB,20,False,False
malware_alert,critical,FR,15,True,True
successful_login,medium,DE,20,False,False
suspicious_ip_activity,medium,US,14,True,True
vpn_login,medium,FR,17,False,False
vpn_login,critical,DE,5,False,False
vpn_login,low,JP,18,False,False
failed_login,critical,BR,15,False,True
successful_login,critical,GB,20,False,False
account_lockout,medium,DE,1,False,False
suspicious_ip_activity,medium,CA,14,True,True
brute_force_attempt,high,DE,8,True,False
account_lockout,medium,AU,20,False,False
account_lockout,medium,DE,21,False,False
failed_login,high,GB,20,False,False
successful_login,high,US,21,False,False
vpn_login,low,AU,20,False,False
successful_login,critical,GB,14,False,True
account_lockout,high,GB,13,False,True
failed_login,low,US,22,False,False
brute_force_attempt,medium,US,17,True,False
malware_alert,high,GB,20,True,False
successful_login,high,GB,3,False,False
successful_login,high,GB,20,False,False
suspicious_ip_activity,medium,DE,18,True,False
malware_alert,high,GB,14,True,True
failed_login,critical,US,14,False,True
malware_alert,high,JP,6,True,False
successful_login,low,JP,1,False,False
account_lockout,medium,US,7,False,False
malware_alert,high,JP,21,True,False
malware_alert,critical,US,20,True,False
malware_alert,high,US,16,True,True
successful_login,high,CA,11,False,True
successful_login,low,DE,21,False,False
failed_login,low,US,19,False,False
failed_login,high,BR,22,False,False
failed_login,low,FR,18,False,False
suspicious_ip_activity,high,GB,22,True,False
successful_login,low,BR,5,False,False
vpn_login,low,AU,23,False,False
vpn_login,low,US,13,False,True
successful_login,medium,GB,10,False,True
brute_force_attempt,critical,US,11,True,True
failed_login,high,US,14,False,True
successful_login,medium,JP,23,False,False
vpn_login,critical,DE,11,False,True
privilege_escalation,high,JP,14,True,True
failed_login,medium,IN,18,False,False
suspicious_ip_activity,medium,BR,18,True,False
failed_login,high,DE,17,False,False
privilege_escalation,low,US,2,True,False
malware_alert,medium,US,16,True,True
failed_login,low,US,0,False,False
account_lockout,medium,US,16,False,True
failed_login,high,CA,19,False,False
successful_login,low,US,17,False,False
successful_login,low,DE,16,False,True
account_lockout,high,US,8,False,False
failed_login,critical,GB,15,False,True
failed_login,medium,US,10,False,True
vpn_login,high,FR,17,False,False
suspicious_ip_activity,high,US,18,True,False
successful_login,low,US,15,False,True
account_lockout,low,GB,19,False,False
vpn_login,medium,US,16,False,True
failed_login,medium,US,18,False,False
failed_login,medium,BR,14,False,True
account_lockout,medium,JP,13,False,True
suspicious_ip_activity,high,US,19,True,False
brute_force_attempt,low,US,18,True,False
failed_login,low,JP,1,False,False
vpn_login,medium,AU,6,False,False
account_lockout,low,JP,3,False,False
privilege_escalation,critical,US,6,True,False
suspicious_ip_activity,critical,GB,17,True,False
successful_login,low,DE,15,False,True
account_lockout,high,US,16,False,True
account_lockout,medium,JP,19,False,False
account_lockout,high,US,18,False,False
vpn_login,low,JP,18,False,False
failed_login,low,JP,19,False,False
successful_login,low,US,20,False,False
suspicious_ip_activity,critical,AU,19,True,False
successful_login,high,GB,16,False,True
account_lockout,low,US,21,False,False
failed_login,critical,EC,4,False,False
successful_login,low,DE,0,False,False
account_lockout,medium,US,3,False,False
brute_force_attempt,low,BR,14,True,True
vpn_login,medium,JP,20,False,False
malware_alert,high,US,17,True,False
suspicious_ip_activity,critical,US,0,True,False
brute_force_attempt,medium,FR,11,True,True
successful_login,low,US,0,False,False
vpn_login,low,US,15,False,True
vpn_login,low,GB,6,False,False
vpn_login,high,DE,15,False,True
suspicious_ip_activity,high,US,20,True,False
failed_login,critical,PT,22,False,False
failed_login,medium,GB,22,False,False
privilege_escalation,high,AU,7,True,False
successful_login,medium,GB,21,False,False
successful_login,low,GB,16,False,True
privilege_escalation,medium,GB,18,True,False
successful_login,low,DE,14,False,True
successful_login,medium,DE,19,False,False
successful_login,medium,US,1,False,False
successful_login,high,DE,20,False,False
vpn_login,high,US,1,False,False
malware_alert,high,DE,22,True,False
failed_login,low,AU,21,False,False
successful_login,medium,JP,21,False,False
failed_login,medium,US,18,False,False
failed_login,medium,GB,13,False,True
malware_alert,medium,US,18,True,False
failed_login,critical,CR,6,False,False
failed_login,medium,FR,20,False,False
successful_login,low,US,16,False,True
failed_login,low,GB,13,False,True
successful_login,medium,US,18,False,False
suspicious_ip_activity,critical,GB,20,True,False
account_lockout,medium,FR,21,False,False
successful_login,medium,US,20,False,False
privilege_escalation,critical,GB,14,True,True
vpn_login,critical,US,20,False,False
failed_login,medium,AU,19,False,False
privilege_escalation,medium,IN,18,True,False
account_lockout,medium,GB,16,False,True
failed_login,medium,DE,16,False,True
successful_login,medium,US,22,False,False
account_lockout,high,US,21,False,False
failed_login,low,GB,20,False,False
suspicious_ip_activity,medium,US,1,True,False
vpn_login,low,JP,3,False,False
privilege_escalation,high,US,15,True,True
account_lockout,low,GB,16,False,True
malware_alert,high,US,13,True,True
failed_login,medium,JP,17,False,False
successful_login,medium,FR,16,False,True
brute_force_attempt,high,DE,19,True,False
suspicious_ip_activity,low,US,21,True,False
vpn_login,low,US,18,False,False
successful_login,medium,JP,15,False,True
failed_login,medium,US,16,False,True
failed_login,medium,IN,20,False,False
successful_login,medium,GB,16,False,True
successful_login,low,JP,1,False,False
account_lockout,low,GB,10,False,True
failed_login,low,US,9,False,True
malware_alert,high,US,18,True,False
account_lockout,low,AU,18,False,False
successful_login,low,JP,19,False,False
successful_login,medium,IN,14,False,True
account_lockout,critical,US,19,False,False
vpn_login,critical,AU,3,False,False
failed_login,medium,BR,21,False,False
failed_login,medium,JP,15,False,True
brute_force_attempt,low,CA,16,True,True
suspicious_ip_activity,critical,BR,17,True,False
account_lockout,medium,GB,21,False,False
brute_force_attempt,high,DE,14,True,True
failed_login,critical,GB,9,False,True
account_lockout,low,CA,0,False,False
successful_login,low,CA,16,False,True
successful_login,high,US,14,False,True
vpn_login,low,JP,23,False,False
successful_login,low,GB,1,False,False
brute_force_attempt,critical,US,23,True,False
failed_login,high,CA,18,False,False
failed_login,critical,FR,0,False,False
successful_login,low,DE,6,False,False
successful_login,low,BR,18,False,False
vpn_login,medium,US,15,False,True
privilege_escalation,high,JP,14,True,True
brute_force_attempt,high,JP,20,True,False
vpn_login,medium,IN,21,False,False
privilege_escalation,high,US,0,True,False
failed_login,high,JP,21,False,False
failed_login,medium,AU,15,False,True
successful_login,critical,DE,20,False,False
failed_login,medium,DE,19,False,False
successful_login,medium,BR,21,False,False
vpn_login,low,GB,11,False,True
successful_login,high,US,11,False,True
successful_login,low,IN,15,False,True
suspicious_ip_activity,low,DE,20,True,False
successful_login,high,JP,15,False,True
brute_force_attempt,high,US,21,True,False
failed_login,medium,US,7,False,False
brute_force_attempt,medium,AU,16,True,True
failed_login,high,US,17,False,False
failed_login,low,BR,21,False,False
account_lockout,high,JP,17,False,False
vpn_login,low,JP,21,False,False
successful_login,high,GB,2,False,False
failed_login,low,US,18,False,False
successful_login,high,DE,22,False,False
successful_login,medium,US,16,False,True
account_lockout,medium,IN,5,False,False
malware_alert,low,US,21,True,False
failed_login,medium,US,17,False,False
account_lockout,medium,CA,3,False,False
brute_force_attempt,low,US,7,True,False
suspicious_ip_activity,high,GB,22,True,False
successful_login,high,US,11,False,True
malware_alert,high,DE,0,True,False
account_lockout,high,GB,15,False,True
successful_login,low,JP,10,False,True
failed_login,medium,GB,15,False,True
vpn_login,low,FR,18,False,False
account_lockout,low,DE,19,False,False
brute_force_attempt,low,US,11,True,True
successful_login,low,DE,11,False,True
successful_login,low,BR,0,False,False
suspicious_ip_activity,medium,US,4,True,False
malware_alert,medium,US,14,True,True
suspicious_ip_activity,high,AU,17,True,False
failed_login,low,CA,17,False,False
failed_login,medium,US,17,False,False
suspicious_ip_activity,low,US,3,True,False
vpn_login,low,US,18,False,False
suspicious_ip_activity,high,US,17,True,False
vpn_login,high,FR,11,False,True
brute_force_attempt,critical,US,14,True,True
vpn_login,medium,US,14,False,True
account_lockout,medium,JP,16,False,True
account_lockout,medium,JP,15,False,True
successful_login,low,US,6,False,False
suspicious_ip_activity,medium,FR,19,True,False
failed_login,high,AU,2,False,False
failed_login,high,US,19,False,False
account_lockout,medium,GB,15,False,True
successful_login,high,DE,18,False,False
successful_login,high,DE,15,False,True
brute_force_attempt,high,DE,9,True,True
vpn_login,low,US,16,False,True
account_lockout,low,US,21,False,False
failed_login,low,DE,15,False,True
successful_login,medium,BR,20,False,False
successful_login,high,US,2,False,False
failed_login,critical,GM,6,False,False
successful_login,low,AU,0,False,False
vpn_login,low,GB,1,False,False
privilege_escalation,medium,US,16,True,True
failed_login,medium,DE,16,False,True
failed_login,high,US,4,False,False
successful_login,medium,JP,14,False,True
successful_login,high,US,19,False,False
failed_login,low,BR,3,False,False
successful_login,high,US,16,False,True
account_lockout,high,US,8,False,False
suspicious_ip_activity,medium,GB,15,True,True
failed_login,medium,US,16,False,True
privilege_escalation,high,DE,0,True,False
successful_login,low,DE,18,False,False
suspicious_ip_activity,medium,GB,12,True,True
account_lockout,medium,US,16,False,True
account_lockout,low,JP,16,False,True
suspicious_ip_activity,critical,JP,17,True,False
successful_login,low,GB,16,False,True
account_lockout,medium,US,14,False,True
vpn_login,medium,GB,19,False,False
brute_force_attempt,critical,US,20,True,False
malware_alert,medium,US,16,True,True
account_lockout,medium,US,15,False,True
suspicious_ip_activity,high,US,8,True,False
account_lockout,high,BR,14,False,True
account_lockout,critical,IN,2,False,False
malware_alert,high,CA,14,True,True
failed_login,medium,US,0,False,False
successful_login,critical,JP,20,False,False
privilege_escalation,critical,CA,16,True,True
successful_login,low,IN,5,False,False
brute_force_attempt,medium,US,21,True,False
vpn_login,low,US,23,False,False
successful_login,high,US,20,False,False
brute_force_attempt,critical,FR,23,True,False
vpn_login,low,JP,20,False,False
failed_login,low,US,15,False,True
suspicious_ip_activity,high,AU,16,True,True
failed_login,low,DE,8,False,False
malware_alert,critical,US,14,True,True
successful_login,high,GB,18,False,False
failed_login,medium,DE,21,False,False
successful_login,low,JP,9,False,True
privilege_escalation,critical,US,14,True,True
failed_login,medium,JP,20,False,False
vpn_login,high,US,6,False,False
account_lockout,critical,GB,18,False,False
privilege_escalation,critical,CA,1,True,False
failed_login,critical,US,21,False,False
account_lockout,high,GB,17,False,False
successful_login,medium,JP,2,False,False
successful_login,medium,FR,18,False,False
successful_login,low,US,19,False,False
vpn_login,low,JP,19,False,False
brute_force_attempt,high,GB,16,True,True
failed_login,low,GB,18,False,False
failed_login,medium,CA,3,False,False
privilege_escalation,high,US,14,True,True
failed_login,high,GB,15,False,True
successful_login,critical,US,10,False,True
privilege_escalation,low,JP,21,True,False
vpn_login,critical,IN,19,False,False
suspicious_ip_activity,critical,US,18,True,False
account_lockout,low,DE,18,False,False
malware_alert,high,US,1,True,False
malware_alert,medium,DE,20,True,False
failed_login,low,US,16,False,True
privilege_escalation,critical,US,20,True,False
failed_login,medium,US,14,False,True
successful_login,medium,US,15,False,True
successful_login,medium,DE,16,False,True
vpn_login,low,CA,5,False,False
successful_login,low,US,19,False,False
successful_login,high,US,8,False,False
privilege_escalation,critical,FR,15,True,True
suspicious_ip_activity,medium,FR,12,True,True
suspicious_ip_activity,critical,US,22,True,False
vpn_login,medium,JP,6,False,False
account_lockout,medium,SG,22,False,False
account_lockout,high,US,14,False,True
suspicious_ip_activity,critical,DE,17,True,False
successful_login,low,AU,21,False,False
successful_login,low,US,19,False,False
successful_login,medium,US,2,False,False
successful_login,low,IN,11,False,True
brute_force_attempt,high,CA,17,True,False
account_lockout,high,GB,14,False,True
